,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-0_akademik-shokalskiy-trapping,0,0.3305084745762712,0.3939393939393939,0.3594470046082949,0.05128205128205128,0.061224489795918366,0.05581395348837209,0.09393063583815028,0.11245674740484429,0.10236220472440945
1,Raw-Topic-0_akademik-shokalskiy-trapping,1,0.2916666666666667,0.35353535353535354,0.319634703196347,0.04201680672268908,0.05102040816326531,0.04608294930875576,0.09090909090909091,0.11072664359861592,0.0998439937597504
2,Raw-Topic-0_akademik-shokalskiy-trapping,2,0.27692307692307694,0.18181818181818182,0.21951219512195122,0.0,0.0,0.0,0.06417112299465241,0.04152249134948097,0.05042016806722689
3,Raw-Topic-0_akademik-shokalskiy-trapping,3,0.33613445378151263,0.40404040404040403,0.3669724770642202,0.11016949152542373,0.1326530612244898,0.12037037037037038,0.14613180515759314,0.17647058823529413,0.15987460815047022
4,Raw-Topic-0_akademik-shokalskiy-trapping,4,0.2672413793103448,0.31313131313131315,0.28837209302325584,0.05217391304347826,0.061224489795918366,0.056338028169014086,0.07352941176470588,0.08650519031141868,0.07949125596184418
5,Raw-Topic-0_akademik-shokalskiy-trapping,5,0.3018867924528302,0.32323232323232326,0.3121951219512195,0.047619047619047616,0.05102040816326531,0.04926108374384237,0.08225806451612903,0.08823529411764706,0.08514190317195326
6,Raw-Topic-0_akademik-shokalskiy-trapping,6,0.2542372881355932,0.30303030303030304,0.2764976958525346,0.008547008547008548,0.01020408163265306,0.009302325581395347,0.06647398843930635,0.07958477508650519,0.07244094488188976
7,Raw-Topic-0_akademik-shokalskiy-trapping,7,0.2231404958677686,0.2727272727272727,0.24545454545454545,0.025,0.030612244897959183,0.027522935779816515,0.061971830985915494,0.07612456747404844,0.06832298136645963
8,Raw-Topic-0_akademik-shokalskiy-trapping,8,0.3142857142857143,0.3333333333333333,0.3235294117647059,0.019230769230769232,0.02040816326530612,0.019801980198019802,0.09446254071661238,0.10034602076124567,0.09731543624161074
9,Raw-Topic-0_akademik-shokalskiy-trapping,9,0.2830188679245283,0.30303030303030304,0.2926829268292683,0.009523809523809525,0.01020408163265306,0.009852216748768475,0.06774193548387097,0.0726643598615917,0.07011686143572622
10,Raw-Topic-0_akademik-shokalskiy-trapping,10,0.25806451612903225,0.32323232323232326,0.2869955156950672,0.008130081300813009,0.01020408163265306,0.00904977375565611,0.08104395604395605,0.10207612456747404,0.0903522205206738
11,Raw-Topic-0_akademik-shokalskiy-trapping,11,0.358974358974359,0.42424242424242425,0.3888888888888889,0.08620689655172414,0.10204081632653061,0.09345794392523366,0.11661807580174927,0.1384083044982699,0.12658227848101267
12,Raw-Topic-0_akademik-shokalskiy-trapping,12,0.35772357723577236,0.4444444444444444,0.3963963963963964,0.12295081967213115,0.15306122448979592,0.13636363636363638,0.12188365650969529,0.1522491349480969,0.13538461538461538
13,Raw-Topic-0_akademik-shokalskiy-trapping,13,0.36,0.45454545454545453,0.4017857142857143,0.06451612903225806,0.08163265306122448,0.07207207207207209,0.10762942779291552,0.13667820069204153,0.12042682926829266
14,Raw-Topic-0_akademik-shokalskiy-trapping,14,0.30833333333333335,0.37373737373737376,0.33789954337899547,0.058823529411764705,0.07142857142857142,0.06451612903225808,0.08948863636363637,0.10899653979238755,0.0982839313572543
