,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-0_akademik-shokalskiy-trapping,0,0.3389830508474576,0.42105263157894735,0.3755868544600938,0.05128205128205128,0.06382978723404255,0.05687203791469194,0.10260115606936417,0.12815884476534295,0.11396468699839486
1,Raw-Topic-0_akademik-shokalskiy-trapping,1,0.3416666666666667,0.41,0.37272727272727274,0.07563025210084033,0.09090909090909091,0.08256880733944955,0.11931818181818182,0.14383561643835616,0.13043478260869565
2,Raw-Topic-0_akademik-shokalskiy-trapping,2,0.27692307692307694,0.18181818181818182,0.21951219512195122,0.03125,0.02127659574468085,0.02531645569620253,0.06951871657754011,0.04452054794520548,0.05427974947807933
3,Raw-Topic-0_akademik-shokalskiy-trapping,3,0.33613445378151263,0.40404040404040403,0.3669724770642202,0.11016949152542373,0.1326530612244898,0.12037037037037038,0.14613180515759314,0.17647058823529413,0.15987460815047022
4,Raw-Topic-0_akademik-shokalskiy-trapping,4,0.2672413793103448,0.31313131313131315,0.28837209302325584,0.05217391304347826,0.061224489795918366,0.056338028169014086,0.07352941176470588,0.08650519031141868,0.07949125596184418
5,Raw-Topic-0_akademik-shokalskiy-trapping,5,0.37735849056603776,0.4,0.38834951456310685,0.0761904761904762,0.0851063829787234,0.08040201005025126,0.12419354838709677,0.13898916967509026,0.13117546848381603
6,Raw-Topic-0_akademik-shokalskiy-trapping,6,0.2796610169491525,0.3473684210526316,0.3098591549295775,0.05128205128205128,0.06060606060606061,0.05555555555555555,0.08236994219653179,0.0976027397260274,0.08934169278996866
7,Raw-Topic-0_akademik-shokalskiy-trapping,7,0.24793388429752067,0.3,0.2714932126696833,0.025,0.030612244897959183,0.027522935779816515,0.06901408450704226,0.0839041095890411,0.07573415765069552
8,Raw-Topic-0_akademik-shokalskiy-trapping,8,0.34285714285714286,0.37894736842105264,0.36000000000000004,0.028846153846153848,0.030303030303030304,0.02955665024630542,0.09609120521172639,0.10649819494584838,0.10102739726027397
9,Raw-Topic-0_akademik-shokalskiy-trapping,9,0.2830188679245283,0.3157894736842105,0.29850746268656714,0.01904761904761905,0.020202020202020204,0.0196078431372549,0.07419354838709677,0.08303249097472924,0.07836456558773425
10,Raw-Topic-0_akademik-shokalskiy-trapping,10,0.2903225806451613,0.37894736842105264,0.32876712328767127,0.04065040650406504,0.05319148936170213,0.04608294930875577,0.08653846153846154,0.11191335740072202,0.0967238689547582
11,Raw-Topic-0_akademik-shokalskiy-trapping,11,0.36752136752136755,0.45263157894736844,0.4056603773584906,0.08620689655172414,0.10204081632653061,0.09345794392523366,0.12536443148688048,0.1552346570397112,0.13870967741935486
12,Raw-Topic-0_akademik-shokalskiy-trapping,12,0.3821138211382114,0.47,0.4215246636771301,0.12295081967213115,0.15306122448979592,0.13636363636363638,0.13573407202216067,0.1678082191780822,0.15007656967840735
13,Raw-Topic-0_akademik-shokalskiy-trapping,13,0.36,0.4631578947368421,0.4017857142857143,0.07258064516129033,0.09090909090909091,0.08071748878923767,0.11171662125340599,0.148014440433213,0.12732919254658384
14,Raw-Topic-0_akademik-shokalskiy-trapping,14,0.35833333333333334,0.43,0.3909090909090909,0.058823529411764705,0.07446808510638298,0.06572769953051642,0.109375,0.13184931506849315,0.11956521739130434
15,Raw-Topic-0_akademik-shokalskiy-trapping,15,0.2830188679245283,0.3157894736842105,0.29850746268656714,0.01904761904761905,0.020202020202020204,0.0196078431372549,0.07419354838709677,0.08303249097472924,0.07836456558773425
16,Raw-Topic-0_akademik-shokalskiy-trapping,16,0.2672413793103448,0.31313131313131315,0.28837209302325584,0.05217391304347826,0.061224489795918366,0.056338028169014086,0.07352941176470588,0.08650519031141868,0.07949125596184418
17,Raw-Topic-0_akademik-shokalskiy-trapping,17,0.3448275862068966,0.4,0.3703703703703704,0.11304347826086956,0.13131313131313133,0.12149532710280374,0.1323529411764706,0.1541095890410959,0.14240506329113922
18,Raw-Topic-0_akademik-shokalskiy-trapping,18,0.3185840707964602,0.36,0.33802816901408456,0.026785714285714284,0.031914893617021274,0.02912621359223301,0.08459214501510574,0.0958904109589041,0.0898876404494382
19,Raw-Topic-0_akademik-shokalskiy-trapping,19,0.3162393162393162,0.37,0.3410138248847926,0.05172413793103448,0.06060606060606061,0.05581395348837209,0.10058309037900874,0.11815068493150685,0.10866141732283466
20,Raw-Topic-0_akademik-shokalskiy-trapping,20,0.3185840707964602,0.36,0.33802816901408456,0.026785714285714284,0.031914893617021274,0.02912621359223301,0.08459214501510574,0.0958904109589041,0.0898876404494382
21,Raw-Topic-0_akademik-shokalskiy-trapping,21,0.35185185185185186,0.4,0.37438423645320196,0.08411214953271028,0.09090909090909091,0.08737864077669903,0.11234177215189874,0.12454873646209386,0.11735537190082644
22,Raw-Topic-0_akademik-shokalskiy-trapping,22,0.2796610169491525,0.3473684210526316,0.3098591549295775,0.05128205128205128,0.06060606060606061,0.05555555555555555,0.08236994219653179,0.0976027397260274,0.08934169278996866
23,Raw-Topic-0_akademik-shokalskiy-trapping,23,0.36885245901639346,0.45454545454545453,0.4072398190045249,0.1322314049586777,0.16161616161616163,0.14545454545454545,0.14804469273743018,0.1815068493150685,0.16307692307692306
24,Raw-Topic-0_akademik-shokalskiy-trapping,24,0.272,0.34,0.30222222222222217,0.056451612903225805,0.0707070707070707,0.06278026905829596,0.08310626702997276,0.10445205479452055,0.09256449165402124
