,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-0_akademik-shokalskiy-trapping,0,0.1649214659685864,0.6363636363636364,0.26195426195426197,0.06036745406824147,0.23469387755102042,0.09603340292275574,0.06107205623901582,0.24048442906574394,0.09740714786264892
1,Raw-Topic-0_akademik-shokalskiy-trapping,1,0.12777777777777777,0.696969696969697,0.21596244131455397,0.04638218923933209,0.25510204081632654,0.07849293563579278,0.05614143920595534,0.31314878892733566,0.09521304576538665
2,Raw-Topic-0_akademik-shokalskiy-trapping,2,0.11844331641285956,0.7070707070707071,0.20289855072463767,0.0423728813559322,0.25510204081632654,0.07267441860465117,0.04759206798866856,0.2906574394463668,0.08179162609542356
3,Raw-Topic-0_akademik-shokalskiy-trapping,3,0.1991701244813278,0.48484848484848486,0.2823529411764706,0.0375,0.09183673469387756,0.05325443786982249,0.06643356643356643,0.1643598615916955,0.0946215139442231
4,Raw-Topic-0_akademik-shokalskiy-trapping,4,0.21839080459770116,0.5757575757575758,0.3166666666666667,0.04230769230769231,0.11224489795918367,0.06145251396648045,0.07096774193548387,0.1903114186851211,0.10338345864661655
5,Raw-Topic-0_akademik-shokalskiy-trapping,5,0.13305613305613306,0.6464646464646465,0.2206896551724138,0.03333333333333333,0.16326530612244897,0.05536332179930796,0.050871080139372825,0.25259515570934254,0.08468677494199538
6,Raw-Topic-0_akademik-shokalskiy-trapping,6,0.09657701711491443,0.797979797979798,0.1723009814612868,0.042839657282741736,0.35714285714285715,0.07650273224043715,0.046197874080130825,0.39100346020761245,0.08263254113345521
7,Raw-Topic-0_akademik-shokalskiy-trapping,7,0.1378640776699029,0.7171717171717171,0.23127035830618894,0.06420233463035019,0.336734693877551,0.10784313725490195,0.06733897202342225,0.35813148788927335,0.11336254107338443
8,Raw-Topic-0_akademik-shokalskiy-trapping,8,0.11254019292604502,0.7070707070707071,0.1941747572815534,0.043478260869565216,0.2755102040816326,0.07510431154381085,0.04790096878363832,0.3079584775086505,0.08290638099673964
9,Raw-Topic-0_akademik-shokalskiy-trapping,9,0.1165644171779141,0.7676767676767676,0.20239680426098536,0.04608294930875576,0.30612244897959184,0.0801068090787717,0.05646817248459959,0.3806228373702422,0.09834599910594546
10,Raw-Topic-0_akademik-shokalskiy-trapping,10,0.13553113553113552,0.7474747474747475,0.22945736434108527,0.05688073394495413,0.3163265306122449,0.0964230171073095,0.06134969325153374,0.3460207612456747,0.10422094841063054
11,Raw-Topic-0_akademik-shokalskiy-trapping,11,0.21428571428571427,0.6060606060606061,0.31662269129287596,0.07526881720430108,0.21428571428571427,0.11140583554376657,0.078125,0.22491349480968859,0.11596788581623552
12,Raw-Topic-0_akademik-shokalskiy-trapping,12,0.15102974828375287,0.6666666666666666,0.24626865671641793,0.05504587155963303,0.24489795918367346,0.0898876404494382,0.0644666155026861,0.2906574394463668,0.10552763819095477
13,Raw-Topic-0_akademik-shokalskiy-trapping,13,0.09203980099502487,0.7474747474747475,0.1638981173864895,0.034869240348692404,0.2857142857142857,0.06215316315205327,0.04201331114808652,0.3494809688581315,0.07500928332714445
14,Raw-Topic-0_akademik-shokalskiy-trapping,14,0.18529411764705883,0.6363636363636364,0.2870159453302961,0.058997050147492625,0.20408163265306123,0.09153318077803203,0.07015810276679842,0.24567474048442905,0.10914681014604152
15,Raw-Topic-0_akademik-shokalskiy-trapping,15,0.13924050632911392,0.6666666666666666,0.23036649214659685,0.04439746300211417,0.21428571428571427,0.0735551663747811,0.057284299858557285,0.28027681660899656,0.09512624779800354
16,Raw-Topic-0_akademik-shokalskiy-trapping,16,0.11764705882352941,0.7474747474747475,0.2032967032967033,0.050955414012738856,0.32653061224489793,0.0881542699724518,0.05508249068653539,0.35813148788927335,0.09547970479704797
17,Raw-Topic-0_akademik-shokalskiy-trapping,17,0.14678899082568808,0.6464646464646465,0.23925233644859814,0.05517241379310345,0.24489795918367346,0.0900562851782364,0.055,0.24740484429065743,0.08999370673379484
18,Raw-Topic-0_akademik-shokalskiy-trapping,18,0.12199630314232902,0.6666666666666666,0.20625000000000002,0.04814814814814815,0.2653061224489796,0.08150470219435736,0.05015479876160991,0.28027681660899656,0.08508403361344538
19,Raw-Topic-0_akademik-shokalskiy-trapping,19,0.1282051282051282,0.6565656565656566,0.2145214521452145,0.04940711462450593,0.25510204081632654,0.08278145695364238,0.052544613350958363,0.2750865051903114,0.08823529411764706
20,Raw-Topic-0_akademik-shokalskiy-trapping,20,0.10652463382157124,0.8080808080808081,0.18823529411764706,0.048,0.3673469387755102,0.0849056603773585,0.05189309576837416,0.4031141868512111,0.09194948697711129
21,Raw-Topic-0_akademik-shokalskiy-trapping,21,0.13195876288659794,0.6464646464646465,0.2191780821917808,0.05165289256198347,0.25510204081632654,0.0859106529209622,0.053213545266067724,0.2664359861591695,0.08870967741935484
22,Raw-Topic-0_akademik-shokalskiy-trapping,22,0.1545253863134658,0.7070707070707071,0.2536231884057971,0.046460176991150445,0.21428571428571427,0.07636363636363637,0.05958549222797927,0.27854671280276816,0.09817073170731708
23,Raw-Topic-0_akademik-shokalskiy-trapping,23,0.125,0.6060606060606061,0.2072538860103627,0.033402922755741124,0.16326530612244897,0.05545927209705372,0.03945530726256983,0.19550173010380623,0.06565950029052876
24,Raw-Topic-0_akademik-shokalskiy-trapping,24,0.10580204778156997,0.6262626262626263,0.181021897810219,0.03076923076923077,0.1836734693877551,0.0527086383601757,0.03942857142857143,0.23875432525951557,0.06768023540951447
