,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,0,0.2288135593220339,0.27,0.24770642201834864,0.03418803418803419,0.04040404040404041,0.03703703703703704,0.06647398843930635,0.07876712328767123,0.07210031347962383
1,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,1,0.28205128205128205,0.33,0.3041474654377881,0.06896551724137931,0.08080808080808081,0.0744186046511628,0.08892128279883382,0.10445205479452055,0.09606299212598425
2,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,2,0.22608695652173913,0.26,0.24186046511627907,0.017543859649122806,0.020202020202020204,0.018779342723004692,0.04599406528189911,0.053082191780821915,0.0492845786963434
3,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,3,0.22988505747126436,0.2,0.21390374331550802,0.011627906976744186,0.010101010101010102,0.01081081081081081,0.06324110671936758,0.0547945205479452,0.058715596330275226
4,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,4,0.3008130081300813,0.37,0.33183856502242154,0.07377049180327869,0.09090909090909091,0.08144796380090498,0.09556786703601108,0.11815068493150685,0.10566615620214395
5,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,5,0.3008130081300813,0.37,0.33183856502242154,0.07377049180327869,0.09090909090909091,0.08144796380090498,0.09556786703601108,0.11815068493150685,0.10566615620214395
6,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,6,0.16,0.2,0.17777777777777778,0.008064516129032258,0.010101010101010102,0.00896860986547085,0.035422343324250684,0.04452054794520548,0.03945371775417299
7,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,7,0.232,0.29,0.2577777777777777,0.04032258064516129,0.050505050505050504,0.04484304932735426,0.07220708446866485,0.09075342465753425,0.0804248861911988
8,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,8,0.23478260869565218,0.27,0.25116279069767444,0.02631578947368421,0.030303030303030304,0.028169014084507043,0.05934718100890208,0.0684931506849315,0.06359300476947535
9,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,9,0.29838709677419356,0.37,0.33035714285714285,0.0975609756097561,0.12121212121212122,0.1081081081081081,0.12774725274725274,0.15924657534246575,0.14176829268292682
