,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,0,0.11353032659409021,0.7448979591836735,0.1970310391363023,0.048286604361370715,0.31958762886597936,0.08389715832205683,0.04685059864653826,0.3082191780821918,0.08133755083596926
1,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,1,0.14052953156822812,0.7040816326530612,0.234295415959253,0.05714285714285714,0.28865979381443296,0.09540034071550255,0.05255972696245734,0.2692307692307692,0.08794974300399773
2,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,2,0.11353032659409021,0.7448979591836735,0.1970310391363023,0.048286604361370715,0.31958762886597936,0.08389715832205683,0.04685059864653826,0.3082191780821918,0.08133755083596926
3,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,3,0.21621621621621623,0.46153846153846156,0.294478527607362,0.08144796380090498,0.17475728155339806,0.1111111111111111,0.09574468085106383,0.20723684210526316,0.13097713097713098
4,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,4,0.2198952879581152,0.40384615384615385,0.2847457627118644,0.05263157894736842,0.10309278350515463,0.06968641114982578,0.06902654867256637,0.13636363636363635,0.09165687426556993
5,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,5,0.20279720279720279,0.3333333333333333,0.24669603524229075,0.014084507042253521,0.024096385542168676,0.017777777777777778,0.0498812351543943,0.0860655737704918,0.06315789473684211
6,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,6,0.1651376146788991,0.5510204081632653,0.2541176470588235,0.049079754601226995,0.16494845360824742,0.07565011820330969,0.05447070914696814,0.17434210526315788,0.08300704776820673
7,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,7,0.1582089552238806,0.5833333333333334,0.24367816091954023,0.0748502994011976,0.30120481927710846,0.11990407673860912,0.07522567703109329,0.3073770491803279,0.12087026591458501
8,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,8,0.11538461538461539,0.45918367346938777,0.18442622950819676,0.02570694087403599,0.10309278350515463,0.04115226337448559,0.0378657487091222,0.15384615384615385,0.06077348066298342
9,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,9,0.17277486910994763,0.34523809523809523,0.223728813559322,0.02631578947368421,0.04854368932038835,0.0341296928327645,0.05221238938053097,0.09703947368421052,0.06789413118527042
10,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,10,0.18592964824120603,0.3557692307692308,0.24422442244224424,0.020202020202020204,0.04040404040404041,0.02693602693602694,0.0466893039049236,0.09417808219178082,0.06242905788876277
11,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,11,0.17142857142857143,0.6122448979591837,0.26785714285714285,0.04871060171919771,0.17525773195876287,0.07623318385650224,0.05950095969289827,0.21232876712328766,0.09295352323838081
12,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,12,0.10227272727272728,0.54,0.17197452229299365,0.020872865275142316,0.1111111111111111,0.03514376996805112,0.030456852791878174,0.1643835616438356,0.05139186295503212
13,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,13,0.14402173913043478,0.5408163265306123,0.22746781115879827,0.02997275204359673,0.1134020618556701,0.04741379310344828,0.046532846715328466,0.17832167832167833,0.07380607814761216
14,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,14,0.13742071881606766,0.65,0.2268760907504363,0.05296610169491525,0.30120481927710846,0.09009009009009009,0.058823529411764705,0.32991803278688525,0.09747504403992953
15,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,15,0.14714714714714713,0.5,0.22737819025522038,0.0391566265060241,0.13402061855670103,0.0606060606060606,0.0549949545913219,0.19055944055944055,0.08535630383711824
16,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,16,0.14055299539170507,0.5865384615384616,0.22676579925650558,0.04387990762124711,0.18446601941747573,0.0708955223880597,0.051391035548686244,0.21875,0.08322903629536922
17,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,17,0.13646055437100213,0.6530612244897959,0.2257495590828924,0.05128205128205128,0.24742268041237114,0.08495575221238938,0.05539671193709793,0.2654109589041096,0.09166173861620343
18,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,18,0.1016949152542373,0.72,0.17821782178217824,0.042432814710042434,0.30303030303030304,0.07444168734491315,0.041351606805293005,0.2996575342465753,0.07267441860465117
19,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,19,0.16441441441441443,0.7019230769230769,0.2664233576642336,0.08803611738148984,0.3786407766990291,0.14285714285714288,0.09554380664652568,0.4161184210526316,0.1554054054054054
20,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,20,0.12769784172661872,0.71,0.21646341463414637,0.04864864864864865,0.2727272727272727,0.08256880733944955,0.04939759036144578,0.2808219178082192,0.08401639344262296
21,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,21,0.125,0.5102040816326531,0.20078740157480315,0.022113022113022112,0.09090909090909091,0.035573122529644265,0.03618421052631579,0.1506849315068493,0.058355437665782495
22,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,22,0.13383838383838384,0.53,0.21370967741935482,0.02278481012658228,0.09278350515463918,0.036585365853658534,0.03940677966101695,0.15924657534246575,0.06317934782608696
23,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,23,0.08675263774912075,0.7551020408163265,0.15562565720294425,0.03873239436619718,0.3333333333333333,0.0694006309148265,0.037436299490395925,0.3270547945205479,0.06718255364052059
24,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,24,0.1451990632318501,0.6326530612244898,0.23619047619047623,0.046948356807511735,0.20618556701030927,0.07648183556405354,0.05106048703849175,0.22727272727272727,0.08338678640153944
