,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,topic_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,topic_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,topic_0,2,0.125,0.05263157894736842,0.07407407407407407,0.0,0.0,0.0,0.03125,0.01020408163265306,0.015384615384615384
3,topic_0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,topic_0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,topic_0,5,0.10714285714285714,0.15789473684210525,0.1276595744680851,0.0,0.0,0.0,0.02631578947368421,0.04081632653061224,0.032
6,topic_0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,topic_0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,topic_0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,topic_0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,topic_0,10,0.06666666666666667,0.05263157894736842,0.058823529411764705,0.0,0.0,0.0,0.013513513513513514,0.01020408163265306,0.011627906976744186
11,topic_0,11,0.06666666666666667,0.05263157894736842,0.058823529411764705,0.0,0.0,0.0,0.013513513513513514,0.01020408163265306,0.011627906976744186
12,topic_0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,topic_0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,topic_0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,topic_0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,topic_0,16,0.07407407407407407,0.10526315789473684,0.08695652173913043,0.0,0.0,0.0,0.0136986301369863,0.02040816326530612,0.01639344262295082
17,topic_0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,topic_0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,topic_0,19,0.07407407407407407,0.10526315789473684,0.08695652173913043,0.0,0.0,0.0,0.0136986301369863,0.02040816326530612,0.01639344262295082
20,topic_0,20,0.07407407407407407,0.10526315789473684,0.08695652173913043,0.0,0.0,0.0,0.0136986301369863,0.02040816326530612,0.01639344262295082
21,topic_0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,topic_0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,topic_0,23,0.1,0.05263157894736842,0.06896551724137931,0.0,0.0,0.0,0.022727272727272728,0.01020408163265306,0.01408450704225352
24,topic_0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
