,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,topic_1,0,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.028688524590163935,0.09210526315789473,0.04375
1,topic_1,1,0.09615384615384616,0.35714285714285715,0.15151515151515152,0.0,0.0,0.0,0.019736842105263157,0.07894736842105263,0.03157894736842105
2,topic_1,2,0.26785714285714285,0.5357142857142857,0.3571428571428571,0.14545454545454545,0.2962962962962963,0.19512195121951217,0.128125,0.26973684210526316,0.17372881355932202
3,topic_1,3,0.55,0.39285714285714285,0.45833333333333337,0.42105263157894735,0.2962962962962963,0.34782608695652173,0.33653846153846156,0.23026315789473684,0.2734375
4,topic_1,4,0.1523809523809524,0.5714285714285714,0.2406015037593985,0.07692307692307693,0.2962962962962963,0.12213740458015268,0.06840390879478828,0.27631578947368424,0.10966057441253266
5,topic_1,5,0.3488372093023256,0.5357142857142857,0.4225352112676056,0.19047619047619047,0.2962962962962963,0.2318840579710145,0.17355371900826447,0.27631578947368424,0.2131979695431472
6,topic_1,6,0.13793103448275862,0.14285714285714285,0.14035087719298248,0.0,0.0,0.0,0.0379746835443038,0.039473684210526314,0.03870967741935484
7,topic_1,7,0.0821917808219178,0.21428571428571427,0.1188118811881188,0.0,0.0,0.0,0.016587677725118485,0.046052631578947366,0.02439024390243903
8,topic_1,8,0.06976744186046512,0.21428571428571427,0.10526315789473685,0.0,0.0,0.0,0.014,0.046052631578947366,0.02147239263803681
9,topic_1,9,0.04878048780487805,0.2857142857142857,0.08333333333333334,0.006134969325153374,0.037037037037037035,0.010526315789473684,0.014462809917355372,0.09210526315789473,0.025000000000000005
10,topic_1,10,0.13076923076923078,0.6071428571428571,0.21518987341772153,0.06201550387596899,0.2962962962962963,0.10256410256410256,0.058900523560209424,0.29605263157894735,0.09825327510917031
11,topic_1,11,0.20238095238095238,0.6071428571428571,0.30357142857142855,0.0963855421686747,0.2962962962962963,0.14545454545454548,0.09221311475409837,0.29605263157894735,0.140625
12,topic_1,12,0.09473684210526316,0.32142857142857145,0.14634146341463414,0.0,0.0,0.0,0.019855595667870037,0.07236842105263158,0.031161473087818695
13,topic_1,13,0.05555555555555555,0.2857142857142857,0.09302325581395349,0.0,0.0,0.0,0.012971698113207548,0.07236842105263158,0.022000000000000002
14,topic_1,14,0.2222222222222222,0.6428571428571429,0.33027522935779813,0.1,0.2962962962962963,0.14953271028037385,0.09574468085106383,0.29605263157894735,0.14469453376205788
15,topic_1,15,0.07142857142857142,0.21428571428571427,0.10714285714285714,0.012048192771084338,0.037037037037037035,0.018181818181818184,0.020491803278688523,0.06578947368421052,0.03125
16,topic_1,16,0.05263157894736842,0.35714285714285715,0.09174311926605504,0.0,0.0,0.0,0.011565836298932384,0.08552631578947369,0.020376175548589337
17,topic_1,17,0.075,0.32142857142857145,0.12162162162162161,0.008403361344537815,0.037037037037037035,0.0136986301369863,0.02130681818181818,0.09868421052631579,0.035046728971962614
18,topic_1,18,0.058333333333333334,0.25,0.09459459459459459,0.008403361344537815,0.037037037037037035,0.0136986301369863,0.018465909090909092,0.08552631578947369,0.030373831775700938
19,topic_1,19,0.08403361344537816,0.35714285714285715,0.1360544217687075,0.0,0.0,0.0,0.02005730659025788,0.09210526315789473,0.03294117647058824
20,topic_1,20,0.06722689075630252,0.2857142857142857,0.10884353741496598,0.00847457627118644,0.037037037037037035,0.013793103448275862,0.02005730659025788,0.09210526315789473,0.03294117647058824
21,topic_1,21,0.21794871794871795,0.6071428571428571,0.3207547169811321,0.1038961038961039,0.2962962962962963,0.15384615384615385,0.10176991150442478,0.3026315789473684,0.15231788079470202
22,topic_1,22,0.05970149253731343,0.2857142857142857,0.09876543209876543,0.0,0.0,0.0,0.013959390862944163,0.07236842105263158,0.023404255319148935
23,topic_1,23,0.08396946564885496,0.39285714285714285,0.13836477987421383,0.0,0.0,0.0,0.016883116883116882,0.08552631578947369,0.028199566160520606
24,topic_1,24,0.20967741935483872,0.4642857142857143,0.2888888888888889,0.13114754098360656,0.2962962962962963,0.18181818181818182,0.10393258426966293,0.24342105263157895,0.1456692913385827
