,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,topic_2,0,0.10526315789473684,0.2,0.13793103448275862,0.0,0.0,0.0,0.018404907975460124,0.036585365853658534,0.02448979591836735
1,topic_2,1,0.06930693069306931,0.23333333333333334,0.1068702290076336,0.02,0.06896551724137931,0.0310077519379845,0.01694915254237288,0.06097560975609756,0.026525198938992044
2,topic_2,2,0.04918032786885246,0.2,0.07894736842105264,0.008264462809917356,0.034482758620689655,0.013333333333333334,0.009776536312849162,0.042682926829268296,0.01590909090909091
3,topic_2,3,0.08333333333333333,0.03333333333333333,0.04761904761904761,0.0,0.0,0.0,0.017857142857142856,0.006097560975609756,0.009090909090909092
4,topic_2,4,0.08163265306122448,0.13333333333333333,0.10126582278481011,0.0,0.0,0.0,0.017985611510791366,0.03048780487804878,0.02262443438914027
5,topic_2,5,0.0625,0.1,0.07692307692307693,0.0,0.0,0.0,0.011029411764705883,0.018292682926829267,0.013761467889908258
6,topic_2,6,0.07407407407407407,0.2,0.10810810810810811,0.0,0.0,0.0,0.01276595744680851,0.036585365853658534,0.01892744479495268
7,topic_2,7,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.014534883720930232,0.03048780487804878,0.01968503937007874
8,topic_2,8,0.05504587155963303,0.2,0.08633093525179857,0.009259259259259259,0.034482758620689655,0.014598540145985401,0.0109717868338558,0.042682926829268296,0.017456359102244388
9,topic_2,9,0.07058823529411765,0.2,0.10434782608695652,0.011904761904761904,0.034482758620689655,0.017699115044247787,0.016194331983805668,0.04878048780487805,0.024316109422492405
10,topic_2,10,0.045081967213114756,0.36666666666666664,0.08029197080291972,0.00823045267489712,0.06896551724137931,0.014705882352941176,0.009668508287292817,0.08536585365853659,0.017369727047146403
11,topic_2,11,0.05921052631578947,0.3,0.0989010989010989,0.006622516556291391,0.034482758620689655,0.011111111111111112,0.011160714285714286,0.06097560975609756,0.01886792452830189
12,topic_2,12,0.0673076923076923,0.23333333333333334,0.1044776119402985,0.0,0.0,0.0,0.011513157894736841,0.042682926829268296,0.018134715025906734
13,topic_2,13,0.1111111111111111,0.13333333333333333,0.1212121212121212,0.0,0.0,0.0,0.025,0.03048780487804878,0.027472527472527472
14,topic_2,14,0.09523809523809523,0.26666666666666666,0.14035087719298245,0.0,0.0,0.0,0.020491803278688523,0.06097560975609756,0.03067484662576687
15,topic_2,15,0.047058823529411764,0.26666666666666666,0.08,0.005917159763313609,0.034482758620689655,0.0101010101010101,0.008964143426294821,0.054878048780487805,0.015410958904109592
16,topic_2,16,0.12,0.3,0.17142857142857143,0.013513513513513514,0.034482758620689655,0.01941747572815534,0.029953917050691243,0.07926829268292683,0.04347826086956522
17,topic_2,17,0.075,0.3,0.12,0.008403361344537815,0.034482758620689655,0.013513513513513513,0.017045454545454544,0.07317073170731707,0.02764976958525345
18,topic_2,18,0.08870967741935484,0.36666666666666664,0.14285714285714285,0.0,0.0,0.0,0.019230769230769232,0.08536585365853659,0.03139013452914798
19,topic_2,19,0.12244897959183673,0.2,0.15189873417721522,0.0,0.0,0.0,0.025179856115107913,0.042682926829268296,0.03167420814479638
20,topic_2,20,0.075,0.3,0.12,0.008403361344537815,0.034482758620689655,0.013513513513513513,0.017045454545454544,0.07317073170731707,0.02764976958525345
21,topic_2,21,0.08045977011494253,0.23333333333333334,0.11965811965811966,0.011627906976744186,0.034482758620689655,0.017391304347826087,0.019762845849802372,0.06097560975609756,0.02985074626865672
22,topic_2,22,0.07017543859649122,0.13333333333333333,0.09195402298850575,0.0,0.0,0.0,0.012269938650306749,0.024390243902439025,0.0163265306122449
23,topic_2,23,0.08333333333333333,0.2,0.11764705882352941,0.014084507042253521,0.034482758620689655,0.019999999999999997,0.02403846153846154,0.06097560975609756,0.03448275862068966
24,topic_2,24,0.1267605633802817,0.3,0.1782178217821782,0.0,0.0,0.0,0.026829268292682926,0.06707317073170732,0.038327526132404185
