,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-0_akademik-shokalskiy-trapping,0,0.3050847457627119,0.36,0.3302752293577982,0.042735042735042736,0.050505050505050504,0.046296296296296294,0.08959537572254335,0.10616438356164383,0.09717868338557993
1,Raw-Topic-0_akademik-shokalskiy-trapping,1,0.3416666666666667,0.41,0.37272727272727274,0.07563025210084033,0.09090909090909091,0.08256880733944955,0.11931818181818182,0.14383561643835616,0.13043478260869565
2,Raw-Topic-0_akademik-shokalskiy-trapping,2,0.27692307692307694,0.18,0.21818181818181817,0.015625,0.010101010101010102,0.012269938650306749,0.06951871657754011,0.04452054794520548,0.05427974947807933
3,Raw-Topic-0_akademik-shokalskiy-trapping,3,0.3277310924369748,0.39,0.3561643835616438,0.06779661016949153,0.08080808080808081,0.07373271889400922,0.09598853868194843,0.11472602739726027,0.1045241809672387
4,Raw-Topic-0_akademik-shokalskiy-trapping,4,0.2413793103448276,0.28,0.25925925925925924,0.017391304347826087,0.020202020202020204,0.01869158878504673,0.06323529411764706,0.07363013698630137,0.06803797468354429
5,Raw-Topic-0_akademik-shokalskiy-trapping,5,0.29245283018867924,0.31,0.30097087378640774,0.047619047619047616,0.050505050505050504,0.049019607843137254,0.09516129032258064,0.10102739726027397,0.09800664451827241
6,Raw-Topic-0_akademik-shokalskiy-trapping,6,0.2457627118644068,0.29,0.2660550458715596,0.02564102564102564,0.030303030303030304,0.027777777777777776,0.059248554913294796,0.0702054794520548,0.06426332288401254
7,Raw-Topic-0_akademik-shokalskiy-trapping,7,0.2231404958677686,0.27,0.24434389140271492,0.025,0.030303030303030304,0.027397260273972605,0.05352112676056338,0.06506849315068493,0.05873261205564142
8,Raw-Topic-0_akademik-shokalskiy-trapping,8,0.2857142857142857,0.3,0.2926829268292683,0.028846153846153848,0.030303030303030304,0.02955665024630542,0.07980456026058631,0.0839041095890411,0.08180300500834725
9,Raw-Topic-0_akademik-shokalskiy-trapping,9,0.2641509433962264,0.28,0.27184466019417475,0.01904761904761905,0.020202020202020204,0.0196078431372549,0.06451612903225806,0.0684931506849315,0.06644518272425248
10,Raw-Topic-0_akademik-shokalskiy-trapping,10,0.2661290322580645,0.33,0.2946428571428571,0.04065040650406504,0.050505050505050504,0.04504504504504504,0.07005494505494506,0.08732876712328767,0.0777439024390244
11,Raw-Topic-0_akademik-shokalskiy-trapping,11,0.3076923076923077,0.36,0.3317972350230415,0.04310344827586207,0.050505050505050504,0.04651162790697675,0.10058309037900874,0.11815068493150685,0.10866141732283466
12,Raw-Topic-0_akademik-shokalskiy-trapping,12,0.3252032520325203,0.4,0.3587443946188341,0.07377049180327869,0.09090909090909091,0.08144796380090498,0.1149584487534626,0.1421232876712329,0.12710566615620214
13,Raw-Topic-0_akademik-shokalskiy-trapping,13,0.312,0.39,0.34666666666666673,0.07258064516129033,0.09090909090909091,0.08071748878923767,0.1008174386920981,0.1267123287671233,0.11229135053110775
14,Raw-Topic-0_akademik-shokalskiy-trapping,14,0.2833333333333333,0.34,0.30909090909090914,0.05042016806722689,0.06060606060606061,0.055045871559633024,0.08948863636363637,0.10787671232876712,0.09782608695652174
15,Raw-Topic-0_akademik-shokalskiy-trapping,15,0.2641509433962264,0.28,0.27184466019417475,0.01904761904761905,0.020202020202020204,0.0196078431372549,0.06451612903225806,0.0684931506849315,0.06644518272425248
16,Raw-Topic-0_akademik-shokalskiy-trapping,16,0.2413793103448276,0.28,0.25925925925925924,0.017391304347826087,0.020202020202020204,0.01869158878504673,0.06323529411764706,0.07363013698630137,0.06803797468354429
17,Raw-Topic-0_akademik-shokalskiy-trapping,17,0.3448275862068966,0.4,0.3703703703703704,0.11304347826086956,0.13131313131313133,0.12149532710280374,0.1323529411764706,0.1541095890410959,0.14240506329113922
18,Raw-Topic-0_akademik-shokalskiy-trapping,18,0.24778761061946902,0.28,0.26291079812206575,0.026785714285714284,0.030303030303030304,0.028436018957345967,0.0634441087613293,0.07191780821917808,0.06741573033707866
19,Raw-Topic-0_akademik-shokalskiy-trapping,19,0.28205128205128205,0.33,0.3041474654377881,0.05172413793103448,0.06060606060606061,0.05581395348837209,0.08600583090379009,0.10102739726027397,0.09291338582677167
20,Raw-Topic-0_akademik-shokalskiy-trapping,20,0.24778761061946902,0.28,0.26291079812206575,0.026785714285714284,0.030303030303030304,0.028436018957345967,0.0634441087613293,0.07191780821917808,0.06741573033707866
21,Raw-Topic-0_akademik-shokalskiy-trapping,21,0.35185185185185186,0.38,0.3653846153846154,0.07476635514018691,0.08080808080808081,0.07766990291262137,0.09968354430379747,0.10787671232876712,0.10361842105263157
22,Raw-Topic-0_akademik-shokalskiy-trapping,22,0.2457627118644068,0.29,0.2660550458715596,0.02564102564102564,0.030303030303030304,0.027777777777777776,0.059248554913294796,0.0702054794520548,0.06426332288401254
23,Raw-Topic-0_akademik-shokalskiy-trapping,23,0.36065573770491804,0.44,0.3963963963963964,0.1322314049586777,0.16161616161616163,0.14545454545454545,0.14804469273743018,0.1815068493150685,0.16307692307692306
24,Raw-Topic-0_akademik-shokalskiy-trapping,24,0.248,0.31,0.27555555555555555,0.056451612903225805,0.0707070707070707,0.06278026905829596,0.08310626702997276,0.10445205479452055,0.09256449165402124
