,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-0_akademik-shokalskiy-trapping,0,0.17777777777777778,0.6736842105263158,0.2813186813186813,0.06128133704735376,0.23404255319148937,0.09713024282560706,0.07182835820895522,0.26714801444043323,0.11315209404849375
1,Raw-Topic-0_akademik-shokalskiy-trapping,1,0.14512922465208747,0.7373737373737373,0.2425249169435216,0.045816733067729085,0.24468085106382978,0.07718120805369127,0.06095936042638241,0.3166089965397924,0.10223463687150838
2,Raw-Topic-0_akademik-shokalskiy-trapping,2,0.1545253863134658,0.7368421052631579,0.25547445255474455,0.046460176991150445,0.21428571428571427,0.07636363636363637,0.05958549222797927,0.29061371841155237,0.09889434889434891
3,Raw-Topic-0_akademik-shokalskiy-trapping,3,0.13934426229508196,0.6868686868686869,0.23168654173764902,0.049281314168377825,0.24242424242424243,0.08191126279863481,0.05597527472527473,0.2820069204152249,0.09340974212034384
4,Raw-Topic-0_akademik-shokalskiy-trapping,4,0.21839080459770116,0.5894736842105263,0.3166666666666667,0.05384615384615385,0.1414141414141414,0.07799442896935933,0.07225806451612904,0.1967509025270758,0.10496719775070291
5,Raw-Topic-0_akademik-shokalskiy-trapping,5,0.19934640522875818,0.61,0.3004926108374384,0.08524590163934426,0.26262626262626265,0.12871287128712872,0.09010989010989011,0.2808219178082192,0.13643926788685523
6,Raw-Topic-0_akademik-shokalskiy-trapping,6,0.23236514522821577,0.5894736842105263,0.33333333333333337,0.05,0.1276595744680851,0.0718562874251497,0.07132867132867132,0.18231046931407943,0.10181451612903228
7,Raw-Topic-0_akademik-shokalskiy-trapping,7,0.14757709251101322,0.67,0.24187725631768955,0.05739514348785872,0.26262626262626265,0.09420289855072463,0.06683899556868537,0.3099315068493151,0.10996354799513972
8,Raw-Topic-0_akademik-shokalskiy-trapping,8,0.11764705882352941,0.7578947368421053,0.2032967032967033,0.050955414012738856,0.32653061224489793,0.0881542699724518,0.05508249068653539,0.35813148788927335,0.09547970479704797
9,Raw-Topic-0_akademik-shokalskiy-trapping,9,0.14231499051233396,0.7894736842105263,0.24115755627009644,0.04752851711026616,0.26595744680851063,0.08064516129032256,0.0540368722186904,0.30505415162454874,0.09135135135135136
10,Raw-Topic-0_akademik-shokalskiy-trapping,10,0.16247139588100687,0.7473684210526316,0.26691729323308266,0.06651376146788991,0.30851063829787234,0.10943396226415095,0.07214121258633922,0.33935018050541516,0.11898734177215191
11,Raw-Topic-0_akademik-shokalskiy-trapping,11,0.15517241379310345,0.7578947368421053,0.25760286225402507,0.05183585313174946,0.24242424242424243,0.08540925266903916,0.05888728323699422,0.2888086642599278,0.09742976688583384
12,Raw-Topic-0_akademik-shokalskiy-trapping,12,0.18855218855218855,0.5894736842105263,0.2857142857142857,0.057432432432432436,0.1717171717171717,0.08607594936708861,0.07361268403171008,0.2226027397260274,0.11063829787234042
13,Raw-Topic-0_akademik-shokalskiy-trapping,13,0.1232876712328767,0.6631578947368421,0.2079207920792079,0.03725490196078431,0.1919191919191919,0.06239737274220032,0.04655737704918033,0.24315068493150685,0.07815079801871216
14,Raw-Topic-0_akademik-shokalskiy-trapping,14,0.11870503597122302,0.6736842105263158,0.20121951219512194,0.04144144144144144,0.23232323232323232,0.07033639143730887,0.05301204819277108,0.3013698630136986,0.09016393442622951
15,Raw-Topic-0_akademik-shokalskiy-trapping,15,0.1134020618556701,0.77,0.19768934531450577,0.05457227138643068,0.37373737373737376,0.09523809523809523,0.055692459339576145,0.386986301369863,0.0973718224903059
16,Raw-Topic-0_akademik-shokalskiy-trapping,16,0.10652463382157124,0.8080808080808081,0.18823529411764706,0.048,0.3673469387755102,0.0849056603773585,0.05189309576837416,0.4031141868512111,0.09194948697711129
17,Raw-Topic-0_akademik-shokalskiy-trapping,17,0.10024449877750612,0.82,0.1786492374727669,0.05752753977968176,0.47474747474747475,0.10262008733624453,0.05580539656582175,0.4674657534246575,0.09970781592403213
18,Raw-Topic-0_akademik-shokalskiy-trapping,18,0.11294765840220386,0.8282828282828283,0.1987878787878788,0.057931034482758624,0.42857142857142855,0.10206561360874848,0.056451612903225805,0.42387543252595156,0.09963399755998373
19,Raw-Topic-0_akademik-shokalskiy-trapping,19,0.1189358372456964,0.76,0.2056833558863329,0.05642633228840126,0.36363636363636365,0.09769335142469471,0.05788370874803562,0.3784246575342466,0.1004089050431622
20,Raw-Topic-0_akademik-shokalskiy-trapping,20,0.20717131474103587,0.5473684210526316,0.30057803468208094,0.036,0.09574468085106383,0.05232558139534883,0.06577181208053691,0.17328519855595667,0.09450337512054002
21,Raw-Topic-0_akademik-shokalskiy-trapping,21,0.0865979381443299,0.8484848484848485,0.15715622076707203,0.04540763673890609,0.4489795918367347,0.08247422680412372,0.044624396967608546,0.44809688581314877,0.08116577875274208
22,Raw-Topic-0_akademik-shokalskiy-trapping,22,0.21052631578947367,0.6631578947368421,0.3176178660049628,0.06930693069306931,0.21212121212121213,0.10447761194029853,0.0790929203539823,0.24486301369863014,0.11956521739130432
23,Raw-Topic-0_akademik-shokalskiy-trapping,23,0.16080402010050251,0.64,0.2570281124497992,0.06297229219143577,0.25252525252525254,0.1008064516129032,0.07166947723440135,0.2910958904109589,0.11502029769959406
24,Raw-Topic-0_akademik-shokalskiy-trapping,24,0.12479201331114809,0.7894736842105263,0.21551724137931033,0.041666666666666664,0.26595744680851063,0.07204610951008644,0.05153203342618384,0.33393501805054154,0.08928571428571429
