,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,0,0.23728813559322035,0.3333333333333333,0.2772277227722772,0.03418803418803419,0.04040404040404041,0.03703703703703704,0.06647398843930635,0.09221311475409837,0.07627118644067797
1,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,1,0.28205128205128205,0.336734693877551,0.30697674418604654,0.07758620689655173,0.09278350515463918,0.08450704225352114,0.08892128279883382,0.10445205479452055,0.09606299212598425
2,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,2,0.22608695652173913,0.2857142857142857,0.24186046511627907,0.017543859649122806,0.020202020202020204,0.018779342723004692,0.05341246290801187,0.07377049180327869,0.061962134251290886
3,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,3,0.3218390804597701,0.2857142857142857,0.29319371727748694,0.10465116279069768,0.09278350515463918,0.09836065573770492,0.12648221343873517,0.11188811188811189,0.11873840445269017
4,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,4,0.3902439024390244,0.4897959183673469,0.4343891402714932,0.13114754098360656,0.16494845360824742,0.14611872146118723,0.1440443213296399,0.18181818181818182,0.160741885625966
5,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,5,0.3902439024390244,0.4897959183673469,0.4343891402714932,0.13114754098360656,0.16494845360824742,0.14611872146118723,0.1440443213296399,0.18181818181818182,0.160741885625966
6,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,6,0.208,0.30952380952380953,0.2488038277511962,0.024193548387096774,0.03614457831325301,0.02898550724637681,0.05858310626702997,0.08811475409836066,0.07037643207855973
7,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,7,0.232,0.34523809523809523,0.27751196172248804,0.04032258064516129,0.050505050505050504,0.04484304932735426,0.07220708446866485,0.10245901639344263,0.08183306055646482
8,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,8,0.23478260869565218,0.2976190476190476,0.25125628140703515,0.03508771929824561,0.04819277108433735,0.04060913705583756,0.05934718100890208,0.07991803278688525,0.06712564543889844
9,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,9,0.3225806451612903,0.47619047619047616,0.3846153846153846,0.16260162601626016,0.24096385542168675,0.1941747572815534,0.1771978021978022,0.26434426229508196,0.21217105263157895
10,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,10,0.24761904761904763,0.26,0.25365853658536586,0.038461538461538464,0.04040404040404041,0.03940886699507389,0.06840390879478828,0.07191780821917808,0.07011686143572621
11,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,11,0.3333333333333333,0.38,0.3551401869158878,0.05309734513274336,0.061855670103092786,0.05714285714285715,0.08832335329341318,0.10102739726027397,0.09424920127795526
12,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,12,0.25471698113207547,0.32142857142857145,0.2842105263157895,0.02857142857142857,0.030927835051546393,0.029702970297029705,0.07741935483870968,0.09221311475409837,0.0812274368231047
13,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,13,0.288,0.35,0.314410480349345,0.12903225806451613,0.1553398058252427,0.1409691629955947,0.14168937329700274,0.17105263157894737,0.1549925484351714
14,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,14,0.41509433962264153,0.4230769230769231,0.4190476190476191,0.2761904761904762,0.2815533980582524,0.27884615384615385,0.2887096774193548,0.2944078947368421,0.29153094462540713
15,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,15,0.224,0.3333333333333333,0.26794258373205737,0.03225806451612903,0.04040404040404041,0.0358744394618834,0.07084468664850137,0.10655737704918032,0.0851063829787234
16,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,16,0.448,0.5833333333333334,0.4890829694323144,0.24193548387096775,0.3253012048192771,0.2643171806167401,0.273841961852861,0.3305921052631579,0.2995529061102832
17,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,17,0.35454545454545455,0.39,0.3714285714285714,0.09174311926605505,0.10309278350515463,0.0970873786407767,0.12111801242236025,0.13356164383561644,0.1270358306188925
18,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,18,0.23478260869565218,0.32142857142857145,0.271356783919598,0.03508771929824561,0.04040404040404041,0.037558685446009384,0.07566765578635015,0.09221311475409837,0.08108108108108107
19,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,19,0.3902439024390244,0.4897959183673469,0.4343891402714932,0.13114754098360656,0.16494845360824742,0.14611872146118723,0.1440443213296399,0.18181818181818182,0.160741885625966
20,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,20,0.3652173913043478,0.5,0.4221105527638191,0.18421052631578946,0.25301204819277107,0.2131979695431472,0.19732937685459942,0.2725409836065574,0.2289156626506024
21,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,21,0.2803738317757009,0.3,0.2898550724637681,0.0660377358490566,0.07216494845360824,0.06896551724137931,0.07348242811501597,0.07876712328767123,0.07603305785123968
22,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,22,0.23,0.27380952380952384,0.25000000000000006,0.050505050505050504,0.05154639175257732,0.0510204081632653,0.06335616438356165,0.06967213114754098,0.06401384083044982
23,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,23,0.24,0.34523809523809523,0.27751196172248804,0.04838709677419355,0.06060606060606061,0.053811659192825115,0.07493188010899182,0.11270491803278689,0.09001636661211129
24,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,24,0.2777777777777778,0.3,0.2884615384615385,0.056074766355140186,0.07228915662650602,0.06315789473684211,0.07436708860759493,0.09631147540983606,0.08392857142857142
