,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,0,0.14634146341463414,0.66,0.2395644283121597,0.06444444444444444,0.29292929292929293,0.10564663023679417,0.06282527881040892,0.2893835616438356,0.1032376298106292
1,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,1,0.20279720279720279,0.3333333333333333,0.24669603524229075,0.014084507042253521,0.024096385542168676,0.017777777777777778,0.0498812351543943,0.0860655737704918,0.06315789473684211
2,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,2,0.2198952879581152,0.40384615384615385,0.2847457627118644,0.05263157894736842,0.10309278350515463,0.06968641114982578,0.06902654867256637,0.13636363636363635,0.09165687426556993
3,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,3,0.21621621621621623,0.46153846153846156,0.294478527607362,0.08144796380090498,0.17475728155339806,0.1111111111111111,0.09574468085106383,0.20723684210526316,0.13097713097713098
4,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,4,0.14052953156822812,0.7040816326530612,0.234295415959253,0.05714285714285714,0.28865979381443296,0.09540034071550255,0.05255972696245734,0.2692307692307692,0.08794974300399773
5,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,5,0.11353032659409021,0.7448979591836735,0.1970310391363023,0.048286604361370715,0.31958762886597936,0.08389715832205683,0.04685059864653826,0.3082191780821918,0.08133755083596926
6,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,6,0.13736263736263737,0.5238095238095238,0.21367521367521372,0.030303030303030304,0.1134020618556701,0.047826086956521734,0.03920664206642067,0.1680327868852459,0.061773255813953494
7,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,7,0.1651376146788991,0.5510204081632653,0.2541176470588235,0.049079754601226995,0.16494845360824742,0.07565011820330969,0.05447070914696814,0.17434210526315788,0.08300704776820673
8,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,8,0.1568627450980392,0.6428571428571429,0.25,0.08108108108108109,0.32038834951456313,0.12941176470588237,0.09004934210526316,0.36019736842105265,0.14407894736842106
9,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,9,0.17277486910994763,0.34523809523809523,0.223728813559322,0.02631578947368421,0.04854368932038835,0.0341296928327645,0.05221238938053097,0.09703947368421052,0.06789413118527042
10,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,10,0.1582089552238806,0.5833333333333334,0.24367816091954023,0.0748502994011976,0.30120481927710846,0.11990407673860912,0.07522567703109329,0.3073770491803279,0.12087026591458501
11,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,11,0.18592964824120603,0.3557692307692308,0.24422442244224424,0.020202020202020204,0.04040404040404041,0.02693602693602694,0.0466893039049236,0.09417808219178082,0.06242905788876277
12,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,12,0.13742071881606766,0.65,0.2268760907504363,0.05296610169491525,0.30120481927710846,0.09009009009009009,0.058823529411764705,0.32991803278688525,0.09747504403992953
13,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,13,0.102803738317757,0.5714285714285714,0.17377567140600314,0.026217228464419477,0.14457831325301204,0.04437400950871632,0.03318722604884158,0.21311475409836064,0.056491037479630635
14,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,14,0.09064748201438849,0.6428571428571429,0.15889029003783103,0.025936599423631124,0.18556701030927836,0.045512010113780026,0.03225806451612903,0.22602739726027396,0.05627887442251154
15,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,15,0.13646055437100213,0.6530612244897959,0.2257495590828924,0.05128205128205128,0.24742268041237114,0.08495575221238938,0.05539671193709793,0.2654109589041096,0.09166173861620343
16,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,16,0.14055299539170507,0.5865384615384616,0.22676579925650558,0.04387990762124711,0.18446601941747573,0.0708955223880597,0.051391035548686244,0.21875,0.08322903629536922
17,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,17,0.11359026369168357,0.5714285714285714,0.1895093062605753,0.026422764227642278,0.13402061855670103,0.044142614601018676,0.03942895989123046,0.20279720279720279,0.06602162777461582
18,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,18,0.16441441441441443,0.7019230769230769,0.2664233576642336,0.08803611738148984,0.3786407766990291,0.14285714285714288,0.09554380664652568,0.4161184210526316,0.1554054054054054
19,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,19,0.14402173913043478,0.5408163265306123,0.22746781115879827,0.02997275204359673,0.1134020618556701,0.04741379310344828,0.046532846715328466,0.17832167832167833,0.07380607814761216
20,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,20,0.1164021164021164,0.66,0.19790104947526235,0.053003533568904596,0.30927835051546393,0.09049773755656108,0.049616066154754876,0.2937062937062937,0.08489135927235977
21,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,21,0.11446740858505565,0.72,0.19753086419753088,0.04777070063694268,0.30303030303030304,0.08253094910591473,0.04976051091005854,0.3202054794520548,0.08613542146476279
22,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,22,0.125,0.5102040816326531,0.20078740157480315,0.022113022113022112,0.09090909090909091,0.035573122529644265,0.03618421052631579,0.1506849315068493,0.058355437665782495
23,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,23,0.10227272727272728,0.54,0.17197452229299365,0.020872865275142316,0.1111111111111111,0.03514376996805112,0.030456852791878174,0.1643835616438356,0.05139186295503212
24,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,24,0.14714714714714713,0.5,0.22737819025522038,0.0391566265060241,0.13402061855670103,0.0606060606060606,0.0549949545913219,0.19055944055944055,0.08535630383711824
