clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
fifty seven people spent christmas aboard cruise ship become stuck ice remote region coast antarctica rescue vessels least two days away australian maritime officials told abc news,"[8.434281777020148e-19, 2.4905198197230145e-21, 9.410035441832154e-19, 3.8383182892907075e-15, 9.548573430215618e-12, 3.7043014164652505e-19, 5.409082581794314e-15, 4.462734720029604e-16, 9.08763818852538e-13, 2.635001976924818e-12, 5.939339638017849e-20, 1.9148341012859668e-15, 9.202973559182198e-14, 4.479984270950912e-16, 7.384410794927485e-18, 7.275450541387034e-13, 1.6589611907901808e-23, 2.2945222394034926e-15, 1.060686616839921e-12, 1.472925964937426e-24, 1.1982889350033983e-22, 8.937137532214316e-25, 6.416952479614356e-26, 4.198636231833903e-26, 1.991648979095663e-16, 1.2028956836153319e-27, 2.9641243448353033e-21]",5.550800159567332e-13,27
russian operated ice strengthened vessel built oceanographic research became stuck ice 1 nautical miles tasmania issued satellite distress call early morning andrea maher australian maritime safety authority said,"[1.0816420870868073e-24, 1.3691471257709068e-23, 3.0841596126028594e-24, 3.803001411109699e-28, 8.348008487801396e-17, 5.422108110792885e-18, 1.2401745766051528e-14, 5.347204678353406e-25, 1.2712399431028872e-17, 6.142118084887441e-19, 1.943247206502483e-18, 1.6400900021123675e-15, 8.006602932942312e-11, 3.8990676411119613e-19, 8.692866593711958e-16, 2.196974194564167e-33, 3.3089090985487195e-12, 9.186353481637502e-18, 9.813897728657885e-18, 4.162496610322538e-10, 4.6654478402995366e-18, 1.3481423397552809e-13, 1.690003326085244e-29, 1.7025038386608474e-16, 1.448443318194118e-18, 1.9067074262967574e-17, 1.8947404621866793e-24, 8.389092753805013e-27]",1.7849094421793132e-11,28
touch master vessel says beset ice spokeswoman maher said basically trapped stuck ice move,"[6.035817997260664e-19, 3.160676742177163e-25, 1.7687966745123263e-15, 2.6728225675371558e-21, 2.243296698372219e-30, 6.667824823863127e-23, 1.4549500910885955e-26, 3.78368903637246e-28, 5.706843983141827e-19, 4.158689845131377e-22, 2.1891242558039145e-19, 2.087438959219141e-20, 7.200655291597452e-22, 2.093041247557746e-19]",1.2645885052975873e-16,14
passengers believed enough provisions wait rescue one passenger tweeted board fine spirits high,"[1.8578432996453438e-25, 3.7540085549848455e-09, 2.1849433050980373e-19, 2.2419086704706366e-17, 4.940602199140228e-19, 3.350679722252899e-22, 8.074028062440138e-23, 4.925465049347425e-16, 5.464172812919698e-23, 1.3802857866927308e-26, 7.576620379394251e-26, 1.0242195171773193e-13, 9.348808841038273e-19]",2.8877780719615853e-10,13
ice like explorers old well spirits high happy christmas australian professor chris tweeted ship far land send aircraft normal rescue vessels maher said three ships ice breaking capabilities region tasked helping two day sail stuck vessel added,"[3.360035677785893e-22, 1.0448252041223432e-19, 2.019543809236779e-13, 2.9349631367826236e-18, 4.704331994807093e-14, 4.178602185535371e-15, 6.551655371040226e-22, 4.38486937705369e-16, 7.466551790455431e-13, 4.0001407802574765e-15, 1.4258782989409978e-13, 7.689579667560412e-11, 9.889667079957223e-18, 2.587586030133028e-26, 5.544940856882769e-22, 2.4917064508068098e-14, 1.2751228418892727e-16, 1.338748957461401e-24, 9.533004157636839e-16, 6.668121005211606e-17, 2.4359160628531804e-13, 1.3509780547244603e-12, 3.582905228770261e-22, 4.3850838365430466e-15, 2.2196961973817297e-15, 0.0002320540866135163, 3.459307928901059e-23, 1.9225183845929456e-23, 1.2382340711610711e-12, 5.699005203713427e-22, 1.253939325753437e-08, 1.1432005234796079e-23, 2.687984298292146e-14, 6.577920495927671e-16, 7.286223559283822e-20, 3.6681209832754447e-17, 4.7076708493912946e-21]",6.272073160607807e-06,37
quite complex lengthy search rescue operation remote location area maher said,"[2.9470528833994483e-31, 8.0061074908099e-30, 1.799320336381632e-20, 4.696573930532307e-19, 1.4097052389987297e-25, 3.0956004584781068e-30, 2.0051178818748948e-25, 1.2323173354270074e-21, 5.002126114715717e-25, 2.3729641299194818e-23, 2.8445526048889807e-29]",4.444613501168534e-20,11
souls board crewmen passengers ship cruised site expedition british explorer sir douglas according expeditions online travel agency sells tickets cruise,"[4.603135515878323e-19, 5.303898562092969e-27, 2.7026575158816617e-22, 1.3599291727552717e-27, 8.843202101909608e-33, 3.1291168834438093e-29, 1.2955612820737544e-31, 7.060890652919826e-21, 1.2031842473416557e-21, 3.717222763029992e-20, 1.0329311486033934e-18, 1.977134216834304e-27, 2.1424941008919245e-22, 8.619322044241149e-21, 2.5888313478165095e-16, 3.9984777142284355e-18, 1.6737975618908894e-22, 5.953289181351783e-22, 2.566208919667596e-17, 4.9762818139941424e-23]",1.4504614950632397e-17,20
antarctic blizzard halted australian icebreaker attempt reach russian ship trapped week people onboard rescuers said monday,"[2.1066538938779627e-12, 7.015574027925601e-15, 2.7102995864525565e-21, 1.55499531222029e-12, 1.1683618783179473e-26, 4.375033040634608e-21, 1.835012598339429e-24, 6.090590088030943e-22, 1.6910157601842446e-22, 1.467460001526854e-19, 2.757162253938613e-20, 7.960154554013162e-08, 3.5513051332801114e-26, 4.0624778030968206e-30, 1.2969071710419614e-20, 1.3397697907756895e-18]",4.9753258879029165e-09,16
left new zealand november private expedition commemorate anniversary antarctic journey led australian explorer douglas,"[1.3789659674188425e-24, 6.140415898610958e-10, 5.2123364605153644e-14, 1.0392460055449233e-24, 2.504380689367327e-23, 7.976971912628882e-16, 3.642487763279588e-18, 3.3052517404219303e-18, 3.207542012505714e-20, 7.071024275411495e-21, 1.1069870786251364e-13, 2.549935184409823e-25, 2.3834604046838476e-20, 8.714813774374783e-26]",4.3871801188678785e-11,14
became trapped ice december nautical miles east french antarctic station people aboard include scientists tourists many australian russian crew,"[2.2478986081474014e-27, 2.9232772372669266e-26, 3.1370698837950586e-27, 4.1946369727829734e-30, 1.330731312525721e-32, 1.9883750523121025e-17, 5.009970963662526e-21, 3.804637145537194e-25, 6.844564488587106e-21, 3.761565472125242e-22, 2.2376770799199066e-26, 2.5247359824312447e-25, 3.5539747965707937e-29, 2.799414939368072e-29, 8.804997620448579e-22, 8.666442359791025e-13, 3.421284071205364e-23, 9.428904149362511e-20, 2.683471190181343e-28]",4.561390669288221e-14,19
first rescue attempt chinese icebreaker snow dragon halted ice thick,"[6.794069359691679e-25, 3.5295197247011495e-25, 6.668656490478192e-24, 5.47037536461467e-22, 3.130532768169745e-22, 5.587767081331404e-19, 9.333230946750659e-23, 7.534859620300918e-21, 2.194611255704092e-28, 3.7402199168845977e-20]",6.046748912798934e-20,10
another attempt aurora australis hampered weather,"[4.123110932713949e-20, 1.7669112891341312e-18, 2.069453602803966e-25, 3.914024405837117e-32, 1.3078497018489502e-25, 3.22204814495329e-33]",3.0135712269860725e-19,6
return open waters nautical miles poor visibility australian maritime safety authority co rescue said,"[6.006143015163913e-27, 8.901644045100942e-17, 3.753820681269531e-27, 1.3767667028049264e-31, 3.252120106943353e-30, 8.511917674118901e-18, 8.399839947928174e-30, 2.4646602835928343e-26, 4.331848164988251e-35, 5.763961109351517e-31, 4.018066559232706e-27, 1.1317629700830907e-34, 1.5573822425881137e-28, 4.622933609153775e-30]",6.966311297408976e-18,14
