clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
malaysia leader called malaysia airlines plane crash eastern ukraine deeply shocking,"[8.107627359804797e-41, 7.337600318612116e-44, 1.0085997120549954e-45, 3.275211695006787e-26, 2.4372947870196945e-51, 6.366117291771538e-58, 1.4763596048441195e-53, 3.412154301298775e-58, 1.7015498167212762e-45, 7.915448975070887e-45, 5.720064595434097e-47]",2.9774651772789043e-27,11
describing disaster tragic day tragic year malaysia said investigation must hindered way,"[5.598951958107847e-37, 6.687184113597657e-33, 7.23464973609815e-32, 6.095252724916358e-42, 5.1958123862131665e-40, 3.4119672336764154e-53, 1.099502581630013e-52, 8.395607922092941e-42, 1.9759399247915225e-53, 1.354595521278822e-49, 4.381394957570794e-58, 1.3685317992875517e-46]",6.5861868253206e-33,12
plane carrying people crashed rebel held territory near russian border,"[3.4850243653607474e-46, 2.7126047528744713e-42, 3.108581201346235e-43, 4.4241813231067313e-57, 5.487864430743191e-57, 1.582738350346428e-57, 4.359876154644417e-50, 8.617541359367212e-34, 3.2729800807680146e-48, 8.582492331328306e-47]",8.617541389606216e-35,10
sides ukraine civil conflict accused shooting missile,"[8.749722249608241e-45, 6.823458443800717e-37, 6.570437284588171e-47, 5.726439394604173e-56, 3.843128086484184e-48, 2.0823638999535904e-51, 2.973861777623584e-66]",9.747797902847764e-38,7
boeing call sign flying amsterdam,"[3.634077863656603e-50, 8.22223056879955e-57, 1.757867829432072e-52, 1.779903593986198e-48, 2.562479974188524e-36]",5.124959948380681e-37,5
second disaster suffered malaysia airlines year flight disappeared en route malaysia china march still found,"[5.637793167540732e-36, 1.2009601793760466e-54, 2.678258553068596e-41, 1.1669507582567139e-52, 4.7326431888742096e-42, 2.1607320419802566e-43, 4.703069247110218e-43, 1.1896064816602635e-48, 3.086138420514201e-57, 1.2691935590436267e-59, 7.207446795742607e-39, 9.232827823314685e-47, 4.5113793087392324e-43, 5.247143638096065e-37, 9.58224147224576e-41]",4.113228968934067e-37,15
statement malaysia airlines said carrying least dutch nationals australians malaysians including crew nine,"[1.4551193069289593e-38, 1.0726412987599608e-46, 2.0411383499485082e-35, 8.618152180411109e-30, 1.7262382960303062e-35, 9.703104141116016e-32, 3.1596561888861706e-43, 4.901179756683348e-22, 1.075494904609786e-44, 4.207777472062721e-41, 1.9871306544418926e-35, 3.128475939949725e-41, 2.44248891940703e-38]",3.77013834141212e-23,13
passengers came germany belgium philippines canada nationalities people yet confirmed,"[1.8325367857099175e-46, 9.343346387894002e-40, 1.3766506515785195e-40, 1.883733984188393e-37, 3.466078205820276e-41, 1.995960054215179e-37, 4.5919114772601185e-38, 4.3647525104812605e-31, 4.625220860030759e-41, 4.728507983285958e-34]",4.369485368878861e-32,10
several board yet clear many heading major international conference hiv aids melbourne australian officials said,"[4.4350394373288386e-49, 1.1464881027305947e-35, 2.9568162742962222e-21, 1.1417788109772606e-40, 5.57861989624755e-44, 1.3462413826232712e-43, 2.6233846105055925e-28, 5.192942333271237e-38, 9.709566194208269e-31, 1.3815798054508316e-34, 3.0151167518419267e-31, 2.7718548130281824e-43, 3.335881578844155e-38, 2.6057617087566087e-34, 1.3481249136498476e-25]",1.9713009002659512e-22,15
airlines announced setting flight paths avoid eastern ukraine ukraine authorities declared area fly zone according european flight safety body,"[3.1841874907302507e-34, 6.00909872577409e-35, 1.2294795402497185e-32, 1.6527779107036325e-35, 4.785837218224277e-31, 1.2750196273784845e-34, 4.866636495744265e-25, 1.1685307561891207e-46, 1.6001108727723423e-43, 3.998776278326257e-42, 1.7551330853129947e-36, 8.676428892396136e-39, 5.915669565565567e-19, 1.0153871134746135e-43, 1.963821422285359e-40, 5.2060779732200284e-33, 2.9095700567348913e-28, 6.2353439183282796e-49, 1.3592421557144862e-36]",3.113512860587683e-20,19
multiple reports washington cite unnamed us officials saying believe plane reportedly flying feet must brought sophisticated surface air missile,"[9.43113747962265e-39, 1.585821726819654e-47, 6.120299339424084e-37, 8.25412367670426e-42, 2.8111220002477315e-32, 1.1905975662141961e-45, 1.7335820516743175e-44, 3.2043705527838983e-41, 1.6277016981020845e-32, 4.257238208843612e-44, 1.6932607319027084e-39, 4.558774987759813e-36, 4.645788845647152e-40, 1.0982288917659585e-49, 9.008503403752206e-46, 1.45350705575304e-44, 2.515891382467721e-48, 1.4109115882229307e-30, 1.891875996275793e-25]",9.957318680662471e-27,19
un security council hold emergency meeting disaster friday morning new york,"[9.97377293882519e-43, 3.8699714942420185e-53, 5.241711810941789e-43, 5.835713879765121e-41, 3.4847728211120123e-46, 1.5370954494591362e-43, 3.930174985196847e-48, 2.6283101974729853e-32, 2.471420496796271e-41, 2.5052097730792363e-46, 3.0285485881161925e-26]",2.7532283785694535e-27,11
justice,[7.590283311845777e-38],7.590283311845777e-38,1
statement malaysian leader said plane route declared safe international civil aviation,"[1.8225495737130233e-42, 4.9775069081756874e-30, 6.984913285056218e-32, 6.716083252029284e-41, 8.566638823612476e-44, 1.5595376718557835e-37, 6.271929668422076e-41, 1.8752774751727686e-45, 9.889757192926776e-51, 1.7915475388860106e-38, 2.2077420282319513e-40]",4.588505650225505e-31,11
said plane made distress call,"[1.5441016474959898e-41, 1.1438172054523953e-45, 4.4181072863940965e-45, 6.525560195477362e-49, 1.6725875752474756e-41]",6.434490960896505e-42,5
malaysia unable verify cause tragedy must find precisely happened flight mr said,"[2.5910713831192896e-31, 3.4755882756304742e-40, 3.7458233523836794e-47, 1.6379530608458643e-44, 5.5070497841273846e-45, 1.0295698691573296e-49, 5.064140272173284e-47, 6.596975007474289e-47, 1.0544772392084742e-36, 8.167557203294516e-55, 3.6619686927762625e-44, 4.348156250320541e-37]",2.1592385662700893e-32,12
transpires plane indeed shot insist perpetrators must swiftly brought justice,"[1.1526261758253286e-53, 2.007937184239785e-52, 5.849258939777967e-45, 2.0601243903529434e-44, 3.701978818261435e-38, 4.608276798116995e-44, 4.427954000462703e-43, 5.142848876727012e-44, 3.3700294405221056e-39, 1.5589117932012097e-49]",4.03903843804522e-39,10
malaysia sending team ukraine help investigation,"[4.359443627076063e-36, 1.2640595479581503e-48, 1.0112759502726552e-44, 1.3519482479944078e-39, 4.914853794671617e-25, 1.0073428718883424e-32]",8.19142315908252e-26,6
ukrainian president petro said act terrorism,"[1.1534165851732412e-40, 9.790319692590553e-34, 2.693145687975132e-37, 7.47558052675772e-38, 8.461127711925727e-40, 9.83540685939631e-50]",1.6322950018125838e-34,6
foreign minister told bbc intercepted phone conversations proved plane shot pro russian separatists,"[2.5527849141064442e-48, 4.304238206734088e-48, 9.461887328627571e-40, 4.151488673339564e-39, 9.693273775032808e-56, 3.69154845783925e-43, 7.317068598995534e-44, 4.239362138231959e-32, 6.0768624835470306e-49, 7.594435895617209e-47, 1.4909670681509033e-38, 4.432425016450734e-34, 3.1380161088257005e-51]",3.2951449147503965e-33,13
russian president putin blamed ukraine government restarting military operations area trying regain control pro russian rebels,"[7.97288725235708e-34, 3.034725186713479e-51, 1.6695415641534072e-40, 8.136885740803952e-34, 1.1492555067745811e-43, 3.6204227371460334e-36, 8.133256212638454e-42, 4.1437967892257413e-44, 3.139807010682168e-45, 3.038523543203846e-44, 1.4328318136794544e-61, 1.2938288488281897e-50, 4.978045264647644e-44, 1.4099263374925114e-37, 9.230565387730301e-37, 8.890976049034082e-43]",1.0097887171512193e-34,16
country whose airspace happened bears responsibility said,"[2.235090190434829e-47, 2.220245768949443e-49, 7.045137230010497e-41, 1.0068809450316164e-49, 1.1831106200297647e-41, 2.476890235685187e-48, 6.392903640955987e-46]",1.1754734705895933e-41,7
separatist leader alexander meanwhile accused ukrainian government bringing airliner,"[2.6898747405626922e-39, 1.1192480404835225e-43, 1.5279072131622413e-42, 4.3136452793455966e-42, 2.843149079682691e-60, 9.743651974830445e-48, 1.8247863910738086e-40, 1.185717888962535e-56, 2.698690652562498e-40]",3.4979732577405903e-40,9
telephone conversation us president barack obama dutch leader mark agreed need assure immediate access site international investigators carry thorough investigation white house said,"[1.4485504302676378e-44, 9.968705344043736e-44, 6.205029574466661e-39, 5.922052754125808e-50, 6.838168121520848e-35, 1.6538081203573756e-40, 4.1825093947297714e-38, 5.790136480824908e-35, 2.542708416555357e-35, 1.3840739742692733e-44, 1.2824428287335544e-56, 8.748307710863502e-46, 1.1415571596565943e-33, 3.1126574810549027e-42, 1.0247143875707668e-49, 1.1834520064031958e-31, 3.3684097448664572e-49, 4.317451469688245e-55, 9.507802857261423e-65, 1.5807524499007527e-57, 3.4167436337408225e-41, 8.513968180187861e-58, 2.8470235928671783e-42]",5.201674615909805e-33,23
subsequent white house statement said critical full credible unimpeded international investigation quickly possible,"[4.595533545580372e-37, 1.123585582306278e-60, 1.1490550144444014e-46, 4.3140498312674984e-32, 7.478153756136924e-51, 2.830490482564038e-53, 2.968819756349161e-66, 1.0003205020937265e-48, 6.5062433008771564e-46, 6.71371143531995e-41, 2.893910276739618e-44, 2.480677766481835e-55, 1.2850735149274274e-56]",3.31853522563049e-33,13
terrorism,[1.7241204566611698e-57],1.7241204566611698e-57,1
plane fell luch region region,"[7.256717023211597e-50, 1.5480687230065545e-57, 1.3000206318115047e-50, 7.411728388652951e-49, 3.946240912423899e-54]",1.6534883264090147e-49,5
head russian air traffic controllers union told bbc russian airspace eastern ukraine remained open conflict planes previously shot tended helicopters low flying fast jets,"[1.2040363624847618e-45, 1.0315570819917026e-45, 4.119864357007803e-56, 1.7414435991650065e-36, 6.846761962937466e-36, 7.982641437278071e-47, 6.150332584963086e-50, 1.1893539598734009e-27, 2.0922349491073567e-43, 1.1628562494429572e-56, 7.00482015701515e-39, 3.947645534976946e-51, 4.0499932490409844e-48, 4.038766473225871e-57, 9.146627696141982e-42, 1.913047475184411e-50, 1.435139450067642e-56, 6.516509122197064e-48, 3.4392107811877966e-50, 5.81810587484166e-45, 5.735747745044691e-48, 2.4592533350812728e-59, 2.151472414677908e-37, 8.263831920557928e-49]",4.9556415361823657e-29,24
order bring airplane altitude need serious weapons missiles said either mistake terrorist act,"[1.0416698284897686e-46, 8.993258463303288e-42, 1.7371837932093577e-39, 5.1915196713013926e-36, 2.265032041547572e-51, 6.079288850927729e-50, 1.0355514178466368e-50, 1.929687434742593e-47, 3.6094094486156807e-47, 7.034858826385033e-48, 2.1869307812657368e-48, 1.2459783002434009e-50, 1.700849265743218e-54]",3.994819883478408e-37,13
analysis jonathan marcus bbc news,"[2.5343162485404548e-49, 8.512466232421212e-56, 7.543788704876003e-41, 1.1053816596771306e-42, 4.575751536688703e-47]",1.5308662943876848e-41,5
turn boeing shot separatists weaponry supplied moscow could significantly alter terms whole debate surrounding ukraine crisis,"[1.6273737658889824e-44, 2.990176849163948e-42, 2.3869638044481302e-39, 2.8799058511357355e-34, 1.377935572165073e-40, 1.004478639605353e-46, 8.359042386692939e-47, 4.990507495375185e-51, 1.1476012698709319e-43, 8.514329309714852e-55, 3.7828378430431686e-49, 7.250357298988982e-46, 4.8342591975189976e-46, 1.4070183632710043e-44, 9.096622048845796e-58, 5.870600273781508e-54]",1.7999569562975563e-35,16
past days growing concern among western governments russia stepping military support separatists eastern ukraine,"[1.9931438738510093e-47, 4.274924035709837e-40, 1.7591388986618639e-44, 6.187223383039402e-46, 7.031571900676381e-54, 4.6128808963550796e-54, 1.6072378981785102e-52, 5.68978819102173e-32, 6.54042612134725e-40, 1.8150329102961914e-32, 3.21305505944292e-35, 2.7430670164230333e-47, 7.53439376953252e-45, 1.929761603225102e-38]",5.362882995925034e-33,14
nato spokesmen insist heavy military equipment moved russian stockpiles separatists across border,"[1.617902668136332e-41, 7.948813895386516e-56, 9.231911733110702e-26, 1.3576014271377494e-32, 2.4986430633918255e-47, 3.4753644883117045e-48, 7.885214564625669e-49, 5.506516634559374e-40, 6.703173131120148e-51, 9.411067652818602e-42, 6.145727303987653e-43, 1.3181546691635493e-41]",7.693260908926823e-27,12
