clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
moderate earthquake rattled swath southern california forced several dozen people one community homes firefighters discovered foundation problems made buildings unsafe enter authorities said saturday,"[2.6785751897526203e-46, 9.728273982145375e-27, 7.276647638685703e-36, 4.265153118283187e-41, 1.268323443229734e-42, 1.831926240488769e-36, 2.0090691670447227e-38, 2.919301458615708e-36, 3.159275862639533e-33, 1.7018248560485138e-42, 8.14481688985127e-34, 1.3903047030558401e-31, 8.715112238878688e-41, 1.4144003565975176e-34, 2.368356197835766e-25, 7.54271344966297e-29, 5.7732226227638836e-36, 5.8582299673406415e-31, 8.8106170932999e-38, 4.6160437065865576e-33, 1.4250363660028406e-11, 1.705716458018634e-27, 2.3391289111395427e-26, 1.1430500579386658e-49]",5.937651525011949e-13,24
fire crews red tagged apartment units building orange county city finding major foundation crack structural woes including broken chimneys leaning uncovered half dozen single family houses also deemed unsafe occupy building inspectors clear structures damage displaced residents,"[4.684741065566899e-22, 1.1907524619139853e-31, 6.95417390171195e-07, 7.877012814398454e-17, 1.507633975671956e-23, 5.102658827303504e-49, 1.78381164920699e-19, 9.37602315344671e-25, 2.616050877358865e-37, 1.4962421045093488e-40, 7.619648479939433e-34, 2.012151852018084e-25, 6.277682314389194e-26, 4.1609835567594453e-29, 4.456428146514135e-39, 4.631848389515327e-41, 1.432953137215698e-34, 3.925495564460631e-36, 3.371662026737094e-23, 3.073484360320573e-27, 8.249990652224956e-25, 7.092465442752636e-28, 2.0263929997276118e-33, 4.1320416531996463e-26, 5.57908758891096e-32, 6.238419580373821e-22, 2.1395270329188537e-20, 3.4153876877926742e-40, 5.728669503631012e-31, 5.219201670951769e-21, 4.64593636684558e-35, 9.46014665669577e-34, 2.9657356115980617e-26, 4.35205438781778e-22, 2.3735527698916888e-33, 2.4855248713990975e-22, 7.423771671501522e-34]",1.8795064601355995e-08,37
despite evacuations scattered damage friday night magnitude 5 1 earthquake centered miles south downtown los angeles mostly frayed nerves,"[1.1945776842692238e-19, 7.303230213825764e-29, 1.0028904486303612e-23, 1.7709793321137137e-33, 3.447518808580529e-38, 4.022472099231108e-30, 3.1523998710106656e-19, 1.5064031786233431e-40, 3.606902450224151e-36, 2.322665525826788e-35, 3.434472356093181e-24, 3.299926341920347e-25, 7.480842386742019e-29, 5.6461844726802365e-46, 1.7346373094131448e-47, 7.920574872080851e-30, 3.799007172451649e-35, 9.034813007493488e-35, 7.353190055026372e-13]",3.87010231691677e-14,19
quake preceded two smaller foreshocks aftershocks followed including magnitude 4 1 hit saturday afternoon largest sequence far felt wide region injuries reported,"[1.6466751804028638e-22, 9.464629608198365e-35, 2.0134714285243116e-40, 4.948006224756716e-32, 2.028516698264523e-43, 2.876641855013695e-37, 7.239579214696143e-44, 6.08651249121326e-38, 3.0236610930638793e-43, 1.2987794590693878e-49, 1.0784114849116783e-26, 3.684736311716543e-36, 6.4756176005273066e-31, 4.15527211372657e-30, 8.049356211503847e-46, 8.4091876572718e-46, 1.1937343192230986e-41, 5.6278123453343e-30, 2.642824136460489e-46, 7.761108348953471e-35, 8.624699876431349e-38, 4.379780490625319e-25]",7.505285940204579e-24,22
residents inconvenienced lost valuables thankfully damage greater said chi chung keung spokesman city,"[1.7991729461574503e-33, 1.2812700720924054e-38, 2.963994937839181e-51, 2.9440042130179315e-26, 1.3296491493160007e-20, 5.628158042971524e-29, 7.132460819938818e-35, 7.403922732840301e-29, 1.675155192885957e-22, 5.234782935435442e-31, 7.95628638967642e-31, 2.2308323375714842e-38, 4.24152196147431e-39]",1.0356951218563475e-21,13
business owners orange county spent aftermath sweeping shattered glass restocking shelves utility crews worked restore power shut gas leaks water main breaks rock slide carbon canyon area nearby brea also caused car overturn occupants minor injuries road remained closed traffic,"[2.824402905982606e-23, 1.4889383728711082e-28, 4.030589966103651e-31, 4.920620637027583e-40, 2.436627389633537e-30, 3.989743353819572e-24, 3.5904596818318546e-38, 6.949291763924336e-34, 3.311174362332473e-38, 3.5587534368430964e-37, 2.938984644638942e-48, 3.741371249305164e-33, 2.2593953370798107e-50, 4.636213743712012e-55, 6.04525745256936e-36, 1.9802579657843286e-43, 5.961440051502623e-50, 6.991203418837557e-44, 4.653977133445126e-38, 1.83688736373017e-57, 7.126520865066381e-62, 4.810997546806129e-48, 5.811128208722207e-47, 4.363407991446469e-42, 6.682482953066658e-40, 1.5612042120689665e-45, 2.0106524077397413e-51, 3.626221645963003e-53, 1.1145155135507912e-35, 2.28214596478805e-45, 6.576337055267416e-36, 1.2569602677845456e-55, 3.469543950578574e-50, 7.413575727306354e-47, 4.5368039643652886e-18, 1.169553219682437e-30, 9.663884898116463e-39, 1.4297496468780406e-45, 9.212584722016357e-39, 3.6616177517446966e-29]",1.1342090495818067e-19,40
red cross opened shelter neighboring la closed people stayed overnight returned home,"[7.413018770127189e-46, 8.492449281452473e-26, 8.58365648712507e-33, 3.9261904826609417e-29, 5.991652793466162e-32, 2.0649580280314628e-45, 1.4826022803337659e-37, 1.4145407434020662e-30, 4.6519539703718705e-36, 9.854707228156363e-44, 4.649313673807115e-47, 7.256491328096019e-46]",7.08043648042328e-27,12
everything starting get settled la police sgt mel said,"[9.747116439807503e-42, 5.7920774865091e-44, 8.908991544118279e-38, 1.3329026756572937e-44, 1.7633674993406497e-45, 5.276351467824446e-48, 1.0992654518996489e-46, 5.531838915106067e-58, 5.6906259731455276e-43]",9.900033860954659e-39,9
residents stay elsewhere building inspectors check red tagged apartments houses give clear fire battalion chief john stokes said,"[9.595451175414127e-29, 2.9084697000075084e-32, 5.396142548448937e-42, 2.3149555316131555e-33, 6.252248424769207e-42, 2.6592197557878337e-49, 1.4001909713157455e-49, 5.1565126778723414e-45, 8.237486372377643e-40, 8.831105670131264e-34, 8.317200940721394e-28, 1.5383157428711174e-56, 2.7340841063244305e-39, 6.786512391594692e-42, 3.1758995319344986e-35, 7.613997954356754e-38, 2.843499773025591e-26, 1.0126038255467766e-40]",1.6312613694824502e-27,18
another residential structures around city suffered lesser damage including collapsed fireplaces shortly main earthquake city dealt dozen water main breaks multiple natural gas leaks stokes said,"[3.0197502042347534e-34, 5.754883542570146e-34, 5.270924969906598e-21, 1.3774317483401373e-41, 3.951143583334196e-42, 2.72686456697961e-39, 6.202122073559566e-45, 5.640480223850517e-41, 3.12333881453091e-35, 2.2520890157793743e-43, 2.076916664626979e-21, 4.9611475392182973e-26, 2.2428471568619222e-30, 3.9971867238452136e-28, 2.984675188580796e-44, 8.192154764261888e-39, 5.485887570476292e-28, 2.6163302216323963e-40, 3.084280321997494e-24, 2.0726779998417148e-26, 1.0145315350872505e-35, 3.0148984934406612e-19, 3.5123827749054844e-19, 1.19473993435602e-31, 5.269737106373651e-31, 1.6156760939471035e-39]",2.5387658616881658e-20,26
