comment_sentences,word_mover_distance,useful_wmd
merci lettre criante vérité  bravo asm  l’équipe ville l’équipe cœur ❤️ ,2.333396505097126,0
là dimanche  encore toujours … ,2.187840663014699,0
bonsoir belle lettre beaucoup vérités bien dites toulonnaise rctabonnée rct depuis 10 ans pourtant raison clermont belle équipe mérite gagner cette finale car c’est fournit plus beau jeu depuis nombreuses années alors bon match j’espère toulon jouera rugby dimanche voyons beau match billy ,0.8225205639887128,1
merci cette lettre a dimanche brenus ,2.533106044546231,0
tout retrace cette tres belle lettre aurillacois supporte asm stade aurillacois dimanche soir boira champagne cette foi crois dur  ,1.3400953445164754,1
merci tout dit allez cette année c’ bonne ,2.3025565863789828,0
bravo l’asm aller toulon  ,3.470613863381453,0
hold up l’on gagne vu saison qu’estce bon  ,2.759515888171773,0
merci papier magnifique j’attendais qu’un jour quelqu’un fasse l’avez fait merci tout cœur  ,1.8931707974140366,0
j’avais envoyé aussi courrier franck azema apporter soutien quand » sais toujours tout tout » l’avaient critiqué après défaite finale ,1.8272116913705385,0
crois qu’ incarne valeurs l’auvergne intelligence hauteur qualités bosseur ,1.7306996118114755,0
si perd encore fois dimanche lutté armes main comme vercingetorix  dirai encore  « merci mr azema faire rêver étoiles rugby » ,2.01294043509798,0
félicitations bel hommage très mérité félicitations tout staff  joueurs bravo messieurs fait vibrer ,2.012335966667147,0
merci cette belle lettre trèsjuste criante vérité merci monsieur azema joueurs donnent tant bonheur ,1.6118299385046875,1
magnifique lettre c’est entraîneur fait rêve depuis 7ans j’espère tout coeur dimanche clermontferrand vas revenir bouclier ,1.214287573804754,1
merci mister js « d’enfiler l’art mur bombarder mots cœurs » franck azema ainsi qu’aux joueurs l’asm ,2.4076231442352274,0
très belle émouvante lettre ,3.0598758391610814,0
bravo ,5.644256657742422,0
merci monsieur cette lettre criante vérité  bien tournés  tout dit bravo merci a président club merci aussi  afranck joueurs  font vibrés  a dimanche garçons  encore dernières aller asm ,1.07495428289571,1
bonjour merci cet article ,2.2823403562752858,0
